TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,RFT
55,Well5,2326,2222.07421,91.55,35.4446,2.4786,2.7274,3.5831,2.2615,0.2326,W,I,5.239014,b4,NORMAL
58,Well5,2357.1,2250.100977,95.43,57.0266,13.8053,14.1075,15.1043,2.2459,0.26299,O,I,0.957275,b4,NORMAL
59,Well5,2358.5,2251.361141,95.89,44.6335,12.9923,15.6051,15.0307,2.325,0.19749,O,I,1.093506,b4,OTHER
60,Well5,2370,2261.595653,96.48,53.8561,66.0593,79.9215,91.889,2.2798,0.20398,O,I,6.386963,b4,NORMAL
61,Well5,2618.7,2469.186122,101.5,42.7432,26.5995,34.5629,41.6463,2.3266,0.20587,O,J,1.007812,c1,OTHER
62,Well5,2636.3,2483.626,103.39,41.6356,37.0785,47.9362,49.0605,2.3774,0.18729,O,J,3.24585,c1,NORMAL
65,Well5,2713.3,2546.016621,105.7,64.5066,10.4844,11.4027,13.8893,2.3734,0.19242,W,J,1.215332,c2,NORMAL
66,Well5,2722.4,2553.314628,106.96,45.7415,44.2532,57.1663,50.4687,2.3095,0.22362,O,J,1.224121,c2,NORMAL
67,Well5,2773,2594.482514,109.51,34.2371,35.2913,37.1783,43.1917,2.2046,0.22599,O,J,1.253418,c2,NORMAL
70,Well5,2790,2608.494199,110.73,57.3388,18.6803,24.5784,22.593,2.4383,0.17092,O,J,0.378662,c2,NORMAL
73,Well6,2199,2014.836882,79.42,59.5969,3.1925,3.298,3.9312,2.3377,0.21249,W,I,7.619385,b3,NORMAL
74,Well6,2215.3,2031.135722,84.9,43.5114,4.0312,4.0048,4.6029,2.3257,0.22055,W,I,5.33374,b3,NORMAL
75,Well6,2224.3,2040.135364,94.52,55.5292,4.872,5.7236,6.4179,2.4284,0.13803,W,I,1.676392,b3,NORMAL
77,Well6,2274,2089.83345,90.68,52.8177,4.7611,4.9196,5.5266,2.3083,0.23773,W,I,4.26709,b4,NORMAL
78,Well6,2301.6,2117.43158,92.53,54.543,3.6166,3.9343,4.9343,2.3055,0.23933,W,I,3.504639,b4,NORMAL
79,Well6,2318,2133.829119,92.89,40.6762,2.4213,2.4983,2.9437,2.2588,0.2474,W,I,8.228271,b4,NORMAL
82,Well6,2367.8,2183.617785,94.77,46.8391,3.4052,3.5178,4.012,2.3425,0.19187,W,I,4.265869,b4,NORMAL
83,Well6,2378.2,2194.014073,95.1,69.2418,17.7181,18.1734,17.2841,2.4148,0.21034,O?,I,2.589844,b4,NORMAL
84,Well6,2386,2201.811289,95.35,50.4755,89.3251,95.8515,66.8156,2.277,0.22401,O,I,3.503418,b4,NORMAL
91,Well7,2510.6,2302.799373,100.31,53.2226,15.0437,16.3838,21.3754,2.4001,0.19078,O?,I,3.275635,c2,NORMAL
92,Well7,2512,2303.956028,100.88,47.6379,14.285,15.2249,19.8134,2.3915,0.21709,O?,I,3.275635,c2,NORMAL
94,Well7,2524,2313.870219,101.63,48.2952,14.8865,15.9683,17.727,2.3789,0.17147,O?,I,0.626221,c2,NORMAL
95,Well7,2535.6,2323.441427,102.7,62.9296,21.1762,23.4326,26.0662,2.5048,0.15649,O?,I,0.125244,c2,NORMAL
96,Well7,2618,2390.894335,103.8,62.5116,15.4252,14.7352,16.3782,2.3993,0.23095,O?,I,0.376221,c2,NORMAL
97,Well7,2653.1,2419.709181,105.73,62.8696,20.4378,21.2007,22.3652,2.5005,0.19543,O,I,0.497803,c2,OTHER
98,Well7,2676.6,2438.759804,106.84,36.6465,14.4077,16.0591,16.0981,2.4534,0.17124,O?,I,0.365967,c2,NORMAL
99,Well7,2736.5,2487.364518,107.89,43.4858,10.5475,10.9368,11.7051,2.3636,0.21941,W,I,1.005615,c2,NORMAL
101,Well7,2843.6,2579.379672,110.97,37.8861,49.8321,40.6396,35.4889,2.3892,0.23708,O,N,0.677246,c3,NORMAL
102,Well8,2340.5,1930.872654,78.36,60.9415,3.4662,3.5169,3.7694,2.3603,0.27798,W,I,2.49585,b3,NORMAL
103,Well8,2359,1946.820203,81.06,45.3344,60.7524,45.9522,46.6716,2.1913,0.19457,O,I,3.548218,b4,NORMAL
104,Well8,2376,1961.473951,82.85,49.16,14.1575,18.0993,17.1143,2.2231,0.26451,O,I,1.70752,b4,NORMAL
106,Well8,2390,1973.545373,86.67,65.1624,13.2959,14.5884,16.5118,2.2915,0.25975,O,I,2.758057,b4,NORMAL
108,Well8,2405.3,1986.76403,88.22,78.5226,8.0939,8.0479,7.8981,2.436,0.22687,W,I,1.053833,b4,OTHER
110,Well8,2436.4,2013.700661,89.4,50.3139,22.2842,30.4924,22.1646,2.2353,0.23427,O,I,2.777222,b4,NORMAL
112,Well8,2448.7,2024.379848,90.4,64.9798,7.6924,7.61,7.7428,2.3774,0.24928,O?,I,2.783447,b4,NORMAL
113,Well8,2449.9,2025.425158,90.68,58.9982,9.6354,9.8219,9.8094,2.2942,0.24763,O?,I,2.783447,b4,NORMAL
115,Well9,2321.6,2230.235455,90.7,42.7684,2.8881,3.1856,4.5953,2.2922,0.21387,W,I,4.992188,b4,NORMAL
118,Well9,2568.6,2431.764464,101.05,52.0112,42.9255,53.6367,42.4354,2.3706,0.20986,O,J,1.753662,c1,NORMAL
119,Well9,2627.7,2474.269205,105.7,45.5475,36.5516,51.4738,43.8731,2.3096,0.22003,O,J,2.023438,c2,NORMAL
120,Well9,2649.7,2489.900972,106.09,43.7654,40.8311,48.4967,55.2873,2.3239,0.20996,O,J,2.023438,c2,NORMAL
122,Well9,2701.8,2526.620878,109.19,37.9057,55.0325,73.5798,61.6765,2.3113,0.20478,O,J,2.293213,c2,NORMAL
125,Well9,2851.1,2632.311956,111.92,41.5602,25.1646,32.9489,25.997,2.3435,0.18404,O,J,1.888428,c2,NORMAL
127,Well9,2864.8,2641.995091,115.81,43.0101,12.6517,14.0086,16.5237,2.4083,0.15659,W,J,7.149414,c2,OTHER
128,Well9,2867.5,2643.903446,113.56,33.5565,15.2727,17.457,20.7883,2.3961,0.14513,W,J,7.149414,c2,NORMAL
130,Well9,2943.7,2697.834419,115.08,40.2316,17.6178,20.6853,18.9633,2.4331,0.16209,O?,J,1.214111,c2,OTHER
132,Well9,2946.5,2699.817951,115.28,47.903,13.7084,14.9322,15.1665,2.4622,0.15483,O?,J,0.539551,c2,OTHER
133,Well9,2949.4,2701.872324,115.81,46.1211,12.0427,12.7064,13.2348,2.4218,0.13794,O?,J,1.618896,c2,NORMAL
134,Well9,2977.9,2722.067076,116.07,47.5106,31.9698,43.9316,36.5925,2.4063,0.17048,O,J,1.079102,c2,NORMAL
135,Well9,3061.4,2781.033056,117.18,41.1982,13.5308,16.6386,16.7518,2.4666,0.16055,W,J,0.539551,c3,OTHER
136,Well9,3074.4,2790.189308,117.99,35.6707,10.3603,10.5374,11.2739,2.3748,0.17283,W,J,1.214111,c3,NORMAL
139,Well10,2612.1,2138.499464,89.58,46.8135,1.2997,1.3403,1.539,2.225,0.25925,W,N,3.270752,b4,NORMAL
140,Well10,2884.4,2363.865004,98.67,47.9601,11.3229,11.8806,13.0851,2.3427,0.17529,W,R,0.882568,c1,NORMAL
141,Well10,2893.1,2371.062758,104.66,53.5332,9.6691,9.8635,10.0872,2.325,0.20952,W,R,0.883057,c1,OTHER
147,Well10,3196.4,2621.782779,107.44,47.4502,10.1957,11.4682,12.1961,2.3518,0.18421,W,R,0.881836,c2,NORMAL
149,Well10,3249.6,2665.711487,109.22,41.5907,12.6056,13.6355,14.2589,2.3418,0.16287,W,R,4.151611,c3,NORMAL
151,Well11,2498,2278.100132,100.06,38.2433,2.3112,2.4542,2.8998,2.2447,0.218122,W,I,4.49,b3,NORMAL
152,Well11,2547,2325.766535,101.71,39.5406,2.5004,2.6877,3.1797,2.2655,0.20662,W,I,4.76,b3,NORMAL
153,Well11,2587.5,2365.093238,103.71,55.1236,50.6319,48.3986,47.0857,2.2934,0.215865,O,I,1.84,b4,NORMAL
155,Well11,2589.5,2367.035559,105.56,55.8762,44.168,44.0414,43.7083,2.2834,0.213119,O,I,1.26,b4,NORMAL
156,Well11,2802.8,2574.138439,112.77,42.8286,25.642,26.3465,27.3775,2.3228,0.19415,O,J,0.68,c1,NORMAL
157,Well11,2811,2582.098439,112.85,49.125,27.8064,27.6731,27.6111,2.3816,0.179627,O,J,1.07,c1,NORMAL
158,Well11,2816.2,2587.146244,113.1,35.9119,38.8706,38.9315,39.6899,2.4087,0.135995,O,J,0.58,c1,NORMAL
159,Well11,2825.5,2596.173193,113.33,49.9452,20.9043,21.2838,22.8254,2.5014,0.089812,O,J,,c1,OTHER
161,Well11,2869.2,2638.596565,115.02,52.5122,18.573,18.0466,17.9862,2.4127,0.175761,O,J,0.97,c2,NORMAL
163,Well11,2872.4,2641.704311,115.25,52.246,22.3284,22.4964,23.1425,2.4272,0.138956,O,J,0.68,c2,NORMAL
166,Well11,2889.5,2658.309448,115.05,69.907,12.5396,12.8182,13.371,2.3424,0.190482,O,J,0.97,c2,NORMAL
167,Well11,2892,2660.736921,115,53.7441,11.4021,11.6095,12.3174,2.4502,0.111552,O?,J,0.78,c2,NORMAL
168,Well11,2893.5,2662.193404,114.85,49.6529,9.1629,9.4086,9.9175,2.3293,0.200905,O?,J,0.68,c2,NORMAL
169,Well11,2899,2667.533845,114.76,46.375,21.1473,21.1833,21.6619,2.36,0.166869,O,J,0.87,c2,NORMAL
170,Well11,2901.8,2670.252614,114.51,53.0219,15.6927,16.0206,16.4324,2.3743,0.196802,O,J,0.58,c2,NORMAL
172,Well11,2905.8,2674.136571,113.6,61.5768,19.636,20.3274,21.5952,2.5294,0.126403,O,J,,c2,OTHER
173,Well11,2916.5,2684.524382,113.11,111.5466,23.9069,24.1398,24.6459,2.4841,0.217044,O,J,,c2,NORMAL
175,Well12,2209.5,2137.32,91.4437,35.9197,2.3199,2.4121,2.7146,2.2842,0.2188,W,I,5.1,b3,NORMAL
178,Well12,2272.5,2200.313671,92.9935,52.2386,19.4684,19.7391,20.6665,2.5372,0.1059,O,I,0.6,b3,NORMAL
179,Well12,2279.5,2207.311242,93.1657,45.673,111.0563,101.092,94.5113,2.2703,0.1783,O,I,2.4,b4,NORMAL
180,Well12,2282.5,2210.310201,93.2395,55.1649,83.9257,82.6429,79.3239,2.265,0.1945,O,I,2.2,b4,NORMAL
181,Well12,2285.5,2213.308325,93.3133,81.2102,18.6911,19.2088,19.7101,2.3833,0.2025,O,I,0.6,b4,NORMAL
182,Well13,2613,2325.773461,101.3698,39.2562,2.206,2.3918,2.6528,2.2745,0.225637,W,I,8.98,b3,NORMAL
183,Well13,2713,2420.336843,103.8298,54.2342,28.0482,28.9421,28.8034,2.2966,0.210399,O,I,2.2,b4,NORMAL
186,Well13,2865,2567.910785,107.569,43.0336,92.0344,92.4485,85.5005,2.2921,0.184169,O,J,1.46,c1,NORMAL
187,Well13,2931.8,2632.609997,109.21228,41.4428,15.2253,15.8785,15.8148,2.3784,0.171581,O,J,0.86,c1,NORMAL
188,Well13,2940.5,2640.965292,109.4263,56.5395,22.7327,23.4695,23.0896,2.4935,0.17195,O,J,,c1,OTHER
189,Well13,2945.5,2645.754293,109.5493,55.2851,19.4866,20.0589,19.6684,2.5005,0.137755,O,J,,c1,OTHER
192,Well13,2997.5,2695.467645,110.8285,48.4737,21.9188,22.3572,21.9008,2.485,0.117125,O,J,,c2,OTHER
193,Well13,3001.5,2699.29584,110.9269,43.6348,21.8373,22.7028,22.3854,2.4145,0.178299,O,J,0.48,c2,OTHER
195,Well13,3022,2718.915341,111.4312,57.5308,10.4557,11.0753,11.2625,2.4648,0.157462,O?,J,0.48,c2,NORMAL
197,Well14,1603,1417.988331,82.94444444,46.8059,2.323,,,2.1428,0.293,W,K,4.16272,a,NORMAL
198,Well14,1623,1435.647982,84.22222222,51.7873,2.636,,,2.1691,0.309,W,K,3.922485,a,NORMAL
199,Well14,1706.5,1508.824184,70.27777778,47.512,2.684,,,2.2568,0.273,W,K,3.841797,b1,NORMAL
200,Well14,1741.9,1538.965804,86.22222222,63.1579,4.193,,,2.3297,0.262,W,K,1.403076,b1,OTHER
201,Well14,1743.5,1540.296816,87.55555556,44.7947,2.803,,,2.4779,0.199,W,K,0.764038,b1,OTHER
202,Well14,1744,1540.712758,76.94444444,46.1845,2.742,,,2.2343,0.276,W,K,0.764038,b1,OTHER
203,Well14,1771,1562.890654,82.16666667,45.3407,3.323,,,2.232,0.289,W,K,1.845337,b1,NORMAL
204,Well14,1795,1581.937337,81.83333333,42.419,16.492,,,2.1621,0.262,O,K,2.249634,b1,NORMAL
205,Well14,1809.3,1592.906704,80.83333333,64.5669,6.751,,,2.34,0.256,O,K,0.579834,b1,NORMAL
206,Well14,1840.5,1616.424586,83.55555556,33.4718,22.707,,,2.1621,0.242,O,K,5.240479,b1,NORMAL
207,Well14,1847,1621.286285,83.16666667,38.8511,24.107,,,2.1282,0.272,O,K,2.843628,b1,NORMAL
208,Well14,1870,1638.405411,82.72222222,43.8694,42.288,,,2.2101,0.308,O,S,2.716431,b3,NORMAL
209,Well14,1903,1662.750319,85.05555556,47.3379,24.903,,,2.1833,0.221,O,S,6.36377,b3,OTHER
210,Well14,1903.4,1663.043336,85.16666667,51.1147,29.259,,,2.189,0.24,O,S,6.36377,b3,NORMAL
211,Well14,1913.5,1670.442019,84.83333333,54.6048,20.765,,,2.2298,0.23,O,S,2.791016,b3,NORMAL
212,Well14,1945,1693.450712,85.27777778,53.374,12.964,,,2.2281,0.269,O,S,1.885742,b3,NORMAL
213,Well14,1969.9,1711.48539,85.54954,53.63,2.399,,,2.2506,0.256,W,S,3.626709,b3,NORMAL
214,Well14,1981,1719.483469,85.8226,73.6581,7.636,,,2.2843,0.263,O,S,1.422119,b3,NORMAL
215,Well14,1994,1728.811527,86.1424,49.9817,1.672,,,2.212,0.274,W,S,3.276123,b4,NORMAL
216,Well14,2001.5,1734.183791,86.3269,45.7511,1.879,,,2.2297,0.25,W,S,6.439697,b4,NORMAL
217,Well14,2018.5,1746.343214,85.94444444,60.138,2.669,,,2.2888,0.251,W,S,2.834229,b4,NORMAL
218,Well14,2031.5,1755.615449,87.0649,38.7454,1.496,,,2.1594,0.267,W,S,8.922729,b4,NORMAL
219,Well14,2052.5,1770.593674,87.5815,44.4349,2.391,,,2.239,0.257,W,S,4.668335,b4,NORMAL
220,Well14,2070.5,1783.418625,88.0243,52.5596,1.941,,,2.2191,0.26,W,S,11.252808,b4,NORMAL
221,Well14,2105,1807.765774,88.873,40.5843,2.318,,,2.2333,0.246,W,S,5.783936,b4,NORMAL
222,Well15,1553.5,1405.197325,84,59.1868,3.231,,,2.2386,0.30199,W,K,5.11499,a,NORMAL
223,Well15,1702.5,1509.322058,85.77777778,48.7704,3.84,,,2.2439,0.264014,W,K,2.946045,b1,NORMAL
224,Well15,1810,1580.584212,79.33333333,37.4355,2.763,,,2.2497,0.255992,W,K,7.553833,b1,NORMAL
225,Well15,1847,1604.953781,81.77777778,43.1637,2.7321,,,2.2588,0.229,W,K,2.303711,b1,NORMAL
226,Well15,1859.1,1612.868133,82.72222222,41.9248,2.891,,,2.2327,0.283997,W,K,5.981934,b1,NORMAL
227,Well15,1897,1637.101357,82.94444444,39.4673,2.525,,,2.1711,0.247,W,K,1.504639,b1,NORMAL
228,Well15,1909,1644.479606,83.22222222,48.5141,4.138,,,2.3679,0.195992,W,K,2.502441,b1,NORMAL
229,Well15,1951,1669.775431,83.77777778,36.5721,1.988,,,2.2125,0.254001,W,K,4.725708,b1,NORMAL
230,Well15,1974.5,1683.736765,84.22222222,29.6785,1.5581,,,2.156,0.287,W,K,7.588623,b1,NORMAL
231,Well15,2002.5,1700.220444,84.72222222,45.1808,22.5322,,,2.2238,0.256011,O,S,3.744263,b3,NORMAL
232,Well15,2030,1715.817861,86.16666667,48.837,12.3681,,,2.267,0.222992,O,S,2.174194,b3,NORMAL
233,Well15,2045,1724.033296,86.5,50.4113,15.2887,,,2.2019,0.250996,O,S,2.750366,b3,NORMAL
234,Well15,2054.5,1729.053449,86.66666667,51.812,18.7491,,,2.2616,0.245996,O,S,5.314209,b3,NORMAL
235,Well15,2064,1734.073601,86.83333333,60.7963,11.9435,,,2.2767,0.240002,O,S,2.647827,b3,NORMAL
236,Well15,2074.5,1739.622192,88.1227,43.2624,8.191,,,2.3125,0.220996,O,S,2.569214,b3,NORMAL
237,Well15,2085,1745.170782,88.381,53.4928,3.691,,,2.3096,0.225994,W,S,2.498413,b3,NORMAL
238,Well15,2088.5,1747.020312,88.4671,59.5527,3.3161,,,2.2779,0.213998,W,S,0.887939,b3,NORMAL
239,Well15,2109.5,1758.185825,88.9837,57.2809,5.34,,,2.2892,0.185003,O?,S,1.463135,b3,NORMAL
240,Well15,2140.5,1774.763925,89.7463,48.2579,1.561,,,2.1849,0.269995,W,S,8.819214,b4,NORMAL
241,Well15,2174,1792.827294,90.5704,38.5646,1.585,,,2.2029,0.257998,W,S,12.71936,b4,NORMAL
242,Well15,2188.1,1800.510357,90.91726,50.8638,2.037,,,2.2528,0.256001,W,S,2.500244,b4,NORMAL
243,Well15,2214,1814.706246,91.5544,49.7647,2.317,,,2.2735,0.229995,W,S,7.450317,b4,NORMAL
244,Well15,2236.5,1827.078284,89.22222222,41.3089,2.775,,,2.2747,0.218994,W,S,4.699097,b4,NORMAL
245,Well15,2250,1834.539245,88.88888889,42.8961,2.8979,,,2.2538,0.244001,W,S,4.799683,b4,NORMAL
246,Well16,1754.5,1595.610303,86,71.8054,4.5471,,,2.3529,0.242994,W,K,2.491089,b1,OTHER
247,Well16,1755,1596.064191,84.33333333,64.5896,3.9131,,,2.3559,0.242999,W,K,2.491089,b1,NORMAL
248,Well16,1785,1623.339563,84.66666667,45.7043,2.8619,,,2.2526,0.278,W,K,4.577515,b1,NORMAL
249,Well16,1795,1632.444385,85.22222222,45.0326,3.348,,,2.2872,0.251998,W,K,3.192993,b1,NORMAL
250,Well16,1845.3,1678.297669,87.16666667,45.1349,2.118,,,2.2735,0.243998,W,K,9.86438,b1,NORMAL
251,Well16,1922.5,1748.956127,89.38888889,39.5991,2.053,,,2.2626,0.242989,W,K,3.923096,b1,NORMAL
252,Well16,1955.5,1779.344758,89.50555556,45.8554,2.0651,,,2.2655,0.24799,W,K,2.250488,b3,NORMAL
253,Well16,1962,1785.342899,89.88888889,40.3333,2.6151,,,2.2801,0.225002,W,K,6.895996,b3,NORMAL
254,Well16,2004.5,1824.631828,90.5,48.4079,2.379,,,2.3298,0.229004,W,K,6.064331,b3,NORMAL
255,Well16,2018.5,1837.589313,90.11111111,32.4086,3.792,,,2.4292,0.132033,W,K,4.233521,b3,NORMAL
256,Well16,2026.5,1844.998911,91,58.5993,2.8141,,,2.3409,0.212004,W,K,4.516602,b3,NORMAL
257,Well16,2048.5,1865.384211,87.4831,52.7314,2.6521,,,2.3258,0.216994,W,K,5.369263,b4,NORMAL
258,Well16,2076,1890.897159,88.1596,43.3203,1.917,,,2.2664,0.253994,W,K,6.792114,b4,NORMAL
259,Well16,2081,1895.539589,88.2826,53.7121,2.326,,,2.3219,0.222999,W,K,2.122559,b4,NORMAL
260,Well16,2093.5,1907.145661,88.5901,43.5312,2.3511,,,2.3159,0.250001,W,K,3.537598,b4,NORMAL
261,Well16,2121.5,1933.190098,89.2789,46.6815,2.6778,,,2.2882,0.242994,W,K,3.265869,b4,NORMAL
262,Well16,2126,1937.379183,89.3896,48.3598,2.046,,,2.2697,0.234993,W,K,2.983887,b4,NORMAL
263,Well16,2139,1949.503488,89.7094,42.1245,2.346,,,2.3157,0.221998,W,K,5.543213,b4,NORMAL
264,Well16,2146,1956.03196,89.8816,42.9284,2.754,,,2.3665,0.171999,W,K,5.686279,b4,NORMAL
265,Well16,2157,1966.293626,90.05555556,52.7664,3.6959,,,2.322,0.212997,W,K,4.692383,b4,NORMAL
266,Well17,1736,1644.059884,79.7956,41.8658,2.3175,,,2.2819,0.184425,W,H,2.506958,b1,NORMAL
267,Well17,1822,1716.805261,81.9112,57.6496,2.2583,,,2.2917,0.256682,W,D,8.441895,b3,NORMAL
268,Well17,1842.3,1733.441122,82.41058,79.337,3.3658,,,2.4338,0.209041,W,D,1.989746,b3,NORMAL
269,Well17,1842.3,1733.441122,82.41058,79.337,3.3658,,,2.4338,0.209041,W,D,1.989746,b3,NORMAL
270,Well17,1849.8,1739.560478,82.59508,62.1257,5.0228,,,2.2601,0.245201,O,D,3.590088,b3,NORMAL
271,Well17,1849.8,1739.560478,82.59508,62.1257,5.0228,,,2.2601,0.245201,O,D,3.590088,b3,NORMAL
272,Well17,1849.8,1739.560478,82.59508,62.1257,5.0228,,,2.2601,0.245201,O,D,3.590088,b3,NORMAL
273,Well17,1858,1746.227779,82.7968,57.7411,4.2731,,,2.2855,0.24099,O,D,3.326172,b3,NORMAL
274,Well17,1858.3,1746.469074,82.80418,58.8551,4.0642,,,2.2867,0.229826,O,D,3.326172,b3,NORMAL
275,Well17,1867.5,1753.868787,83.0305,88.7748,4.2259,,,2.473,0.218792,O,D,,b3,NORMAL
276,Well17,1887,1769.535441,83.5102,51.847,5.5895,,,2.351,0.237577,O,D,2.071655,b4,NORMAL
277,Well17,1887,1769.535441,83.5102,51.847,5.5895,,,2.351,0.237577,O,D,2.071655,b4,NORMAL
278,Well17,1891.5,1773.128587,83.6209,68.9617,4.314,,,2.3298,0.254231,O,D,3.287842,b4,NORMAL
279,Well17,1891.5,1773.128587,83.6209,68.9617,4.314,,,2.3298,0.254231,O,D,3.287842,b4,NORMAL
280,Well17,1906,1784.706502,83.9776,61.3429,3.2162,,,2.2776,0.220513,O,D,4.134521,b4,NORMAL
281,Well17,1906,1784.706502,83.9776,61.3429,3.2162,,,2.2776,0.220513,O,D,4.134521,b4,NORMAL
282,Well17,1906,1784.706502,83.9776,61.3429,3.2162,,,2.2776,0.220513,O,D,4.134521,b4,NORMAL
283,Well17,1906,1784.706502,83.9776,61.3429,3.2162,,,2.2776,0.220513,O,D,4.134521,b4,NORMAL
284,Well17,1906,1784.706502,83.9776,61.3429,3.2162,,,2.2776,0.220513,O,D,4.134521,b4,NORMAL
285,Well17,1930.7,1804.197035,84.58522,59.7256,2.0652,,,2.3095,0.217007,W,D,6.665894,b4,NORMAL
286,Well17,1930.7,1804.197035,84.58522,59.7256,2.0652,,,2.3095,0.217007,W,D,6.665894,b4,NORMAL
287,Well17,1930.7,1804.197035,84.58522,59.7256,2.0652,,,2.3095,0.217007,W,D,6.665894,b4,NORMAL
288,Well17,1931,1804.432649,84.5926,61.6018,2.2186,,,2.3088,0.212522,W,D,6.665894,b4,OTHER
289,Well17,1955,1822.975661,85.183,51.3913,1.8903,,,2.3169,0.268849,W,D,7.914673,b4,NORMAL
290,Well17,1986,1846.154633,85.9456,52.677,2.3897,,,2.2658,0.240978,O?,D,4.581299,b4,NORMAL
291,Well17,2007,1861.29874,86.4622,42.9915,2.6628,,,2.3394,0.219929,W,D,3.014893,b4,NORMAL
292,Well17,2247.5,2020.965047,92.3785,75.3518,4.3393,,,2.3134,0.221222,W,G,1.350586,c1,NORMAL
293,Well17,2301,2057.918248,93.6946,90.4048,4.61,,,2.3911,0.189624,W,G,,c2,NORMAL
