,TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,RFT
29,49,4,2591.1,2203.2956710000003,95.99,51.8048,3.9781,3.9674,4.3469,2.2514,0.25504,W,M,1.429932,c2,NORMAL
30,52,4,2748.8,2338.0273,100.21,53.0699,5.1276,5.0175,5.2668,2.3194,0.23183,W,M,1.189697,c2,NORMAL
31,53,4,2776.6,2362.248896,100.59,46.0359,5.289,5.6768,6.1828,2.3669,0.23054000000000002,W,M,1.333252,c2,NORMAL
32,54,4,2802.4,2384.9074570000002,101.07,50.474,6.6734,7.5892,9.7221,2.3237,0.23990999999999998,W,M,0.941895,c2,NORMAL
33,55,5,2326.0,2222.07421,91.55,35.4446,2.4786,2.7274,3.5831,2.2615,0.2326,W,I,5.239014,b4,NORMAL
34,58,5,2357.1,2250.100977,95.43,57.0266,13.8053,14.1075,15.1043,2.2459,0.26299,O,I,0.957275,b4,NORMAL
35,59,5,2358.5,2251.361141,95.89,44.6335,12.9923,15.6051,15.0307,2.325,0.19749,O,I,1.0935059999999999,b4,OTHER
36,60,5,2370.0,2261.5956530000003,96.48,53.8561,66.0593,79.9215,91.889,2.2798,0.20398,O,I,6.386963,b4,NORMAL
37,61,5,2618.7,2469.186122,101.5,42.7432,26.5995,34.5629,41.6463,2.3266,0.20586999999999997,O,J,1.0078120000000002,c1,OTHER
38,62,5,2636.3,2483.626,103.39,41.6356,37.0785,47.9362,49.0605,2.3774,0.18729,O,J,3.24585,c1,NORMAL
39,65,5,2713.3,2546.016621,105.7,64.5066,10.4844,11.4027,13.8893,2.3734,0.19242,W,J,1.215332,c2,NORMAL
40,66,5,2722.4,2553.314628,106.96,45.7415,44.2532,57.1663,50.4687,2.3095,0.22361999999999999,O,J,1.224121,c2,NORMAL
41,67,5,2773.0,2594.4825140000003,109.51,34.2371,35.2913,37.1783,43.1917,2.2046,0.22599,O,J,1.253418,c2,NORMAL
42,70,5,2790.0,2608.4941989999998,110.73,57.3388,18.6803,24.5784,22.593000000000004,2.4383,0.17092000000000002,O,J,0.378662,c2,NORMAL
43,73,6,2199.0,2014.836882,79.42,59.5969,3.1925,3.298,3.9312,2.3377,0.21249,W,I,7.619385,b3,NORMAL
44,74,6,2215.3,2031.135722,84.9,43.5114,4.0312,4.0048,4.6029,2.3257,0.22055,W,I,5.33374,b3,NORMAL
45,75,6,2224.3,2040.135364,94.52,55.5292,4.872,5.7236,6.4179,2.4284,0.13802999999999999,W,I,1.6763919999999999,b3,NORMAL
46,77,6,2274.0,2089.83345,90.68,52.8177,4.7611,4.9196,5.5266,2.3083,0.23773000000000002,W,I,4.2670900000000005,b4,NORMAL
47,78,6,2301.6,2117.43158,92.53,54.543,3.6166,3.9343,4.9343,2.3055,0.23933000000000001,W,I,3.504639,b4,NORMAL
48,79,6,2318.0,2133.829119,92.89,40.6762,2.4213,2.4983,2.9437,2.2588,0.2474,W,I,8.228271000000001,b4,NORMAL
49,82,6,2367.8,2183.6177850000004,94.77,46.8391,3.4052,3.5178,4.012,2.3425,0.19187,W,I,4.265869,b4,NORMAL
50,83,6,2378.2,2194.014073,95.1,69.2418,17.7181,18.1734,17.2841,2.4148,0.21034,O?,I,2.589844,b4,NORMAL
51,84,6,2386.0,2201.811289,95.35,50.4755,89.3251,95.8515,66.8156,2.2769999999999997,0.22401,O,I,3.503418,b4,NORMAL
52,91,7,2510.6,2302.799373,100.31,53.2226,15.0437,16.3838,21.3754,2.4001,0.19078,O?,I,3.275635,c2,NORMAL
53,92,7,2512.0,2303.956028,100.88,47.6379,14.285,15.2249,19.8134,2.3915,0.21709,O?,I,3.275635,c2,NORMAL
54,94,7,2524.0,2313.8702190000004,101.63,48.2952,14.8865,15.9683,17.727,2.3789,0.17147,O?,I,0.626221,c2,NORMAL
55,95,7,2535.6,2323.4414269999997,102.7,62.9296,21.1762,23.4326,26.0662,2.5048,0.15649000000000002,O?,I,0.125244,c2,NORMAL
56,96,7,2618.0,2390.894335,103.8,62.5116,15.4252,14.7352,16.3782,2.3993,0.23095,O?,I,0.376221,c2,NORMAL
57,97,7,2653.1,2419.7091809999997,105.73,62.8696,20.4378,21.2007,22.3652,2.5005,0.19543,O,I,0.497803,c2,OTHER
58,98,7,2676.6,2438.759804,106.84,36.6465,14.4077,16.0591,16.0981,2.4534,0.17124,O?,I,0.365967,c2,NORMAL
59,99,7,2736.5,2487.364518,107.89,43.4858,10.5475,10.9368,11.7051,2.3636,0.21941,W,I,1.005615,c2,NORMAL
60,101,7,2843.6,2579.379672,110.97,37.8861,49.8321,40.6396,35.4889,2.3892,0.23708,O,N,0.677246,c3,NORMAL
61,102,8,2340.5,1930.872654,78.36,60.9415,3.4662,3.5169,3.7694,2.3603,0.27798,W,I,2.49585,b3,NORMAL
62,103,8,2359.0,1946.8202030000002,81.06,45.3344,60.7524,45.9522,46.6716,2.1913,0.19457,O,I,3.548218,b4,NORMAL
63,104,8,2376.0,1961.4739510000002,82.85,49.16,14.1575,18.0993,17.1143,2.2231,0.26450999999999997,O,I,1.7075200000000001,b4,NORMAL
64,106,8,2390.0,1973.5453730000002,86.67,65.1624,13.2959,14.5884,16.5118,2.2915,0.25975,O,I,2.758057,b4,NORMAL
65,108,8,2405.3,1986.76403,88.22,78.5226,8.0939,8.0479,7.8981,2.436,0.22687,W,I,1.053833,b4,OTHER
66,110,8,2436.4,2013.7006609999999,89.4,50.3139,22.2842,30.4924,22.1646,2.2353,0.23426999999999998,O,I,2.777222,b4,NORMAL
67,112,8,2448.7,2024.379848,90.4,64.9798,7.6924,7.61,7.7428,2.3774,0.24928000000000003,O?,I,2.7834470000000002,b4,NORMAL
68,113,8,2449.9,2025.4251579999998,90.68,58.9982,9.6354,9.8219,9.8094,2.2942,0.24763000000000002,O?,I,2.7834470000000002,b4,NORMAL
69,115,9,2321.6,2230.235455,90.7,42.7684,2.8881,3.1856,4.5953,2.2922,0.21386999999999998,W,I,4.992188,b4,NORMAL
70,118,9,2568.6,2431.764464,101.05,52.0112,42.9255,53.6367,42.4354,2.3706,0.20986,O,J,1.7536619999999998,c1,NORMAL
71,119,9,2627.7,2474.269205,105.7,45.5475,36.5516,51.4738,43.8731,2.3096,0.22003000000000003,O,J,2.023438,c2,NORMAL
72,120,9,2649.7,2489.900972,106.09,43.7654,40.8311,48.4967,55.2873,2.3239,0.20995999999999998,O,J,2.023438,c2,NORMAL
73,122,9,2701.8,2526.620878,109.19,37.9057,55.0325,73.5798,61.6765,2.3113,0.20478,O,J,2.293213,c2,NORMAL
74,125,9,2851.1,2632.311956,111.92,41.5602,25.1646,32.9489,25.997,2.3435,0.18404,O,J,1.8884279999999998,c2,NORMAL
75,127,9,2864.8,2641.9950910000002,115.81,43.0101,12.6517,14.0086,16.5237,2.4083,0.15659,W,J,7.149414,c2,OTHER
76,128,9,2867.5,2643.9034460000003,113.56,33.5565,15.2727,17.457,20.7883,2.3961,0.14513,W,J,7.149414,c2,NORMAL
77,130,9,2943.7,2697.8344190000003,115.08,40.2316,17.6178,20.6853,18.9633,2.4331,0.16209,O?,J,1.2141110000000002,c2,OTHER
78,132,9,2946.5,2699.817951,115.28,47.903,13.7084,14.9322,15.1665,2.4622,0.15483,O?,J,0.539551,c2,OTHER
79,133,9,2949.4,2701.872324,115.81,46.1211,12.0427,12.7064,13.2348,2.4218,0.13794,O?,J,1.618896,c2,NORMAL
80,134,9,2977.9,2722.0670760000003,116.07,47.5106,31.9698,43.9316,36.5925,2.4063,0.17048,O,J,1.079102,c2,NORMAL
81,135,9,3061.4,2781.0330559999998,117.18,41.1982,13.5308,16.6386,16.7518,2.4666,0.16055,W,J,0.539551,c3,OTHER
82,136,9,3074.4,2790.189308,117.99,35.6707,10.3603,10.5374,11.2739,2.3748,0.17282999999999998,W,J,1.2141110000000002,c3,NORMAL
83,139,10,2612.1,2138.499464,89.58,46.8135,1.2997,1.3403,1.5390000000000001,2.225,0.25925,W,N,3.270752,b4,NORMAL
84,140,10,2884.4,2363.8650039999998,98.67,47.9601,11.3229,11.8806,13.0851,2.3427,0.17529,W,R,0.882568,c1,NORMAL
85,141,10,2893.1,2371.062758,104.66,53.5332,9.6691,9.8635,10.0872,2.325,0.20951999999999998,W,R,0.883057,c1,OTHER
86,147,10,3196.4,2621.782779,107.44,47.4502,10.1957,11.4682,12.1961,2.3518,0.18420999999999998,W,R,0.8818360000000001,c2,NORMAL
87,149,10,3249.6,2665.711487,109.22,41.5907,12.6056,13.6355,14.2589,2.3418,0.16287000000000001,W,R,4.151611,c3,NORMAL
88,151,11,2498.0,2278.100132,100.06,38.2433,2.3112,2.4542,2.8998,2.2447,0.21812199999999998,W,I,4.49,b3,NORMAL
89,152,11,2547.0,2325.766535,101.71,39.5406,2.5004,2.6877,3.1797,2.2655,0.20661999999999997,W,I,4.76,b3,NORMAL
90,153,11,2587.5,2365.093238,103.71,55.1236,50.6319,48.3986,47.0857,2.2934,0.215865,O,I,1.84,b4,NORMAL
91,155,11,2589.5,2367.035559,105.56,55.8762,44.168,44.0414,43.7083,2.2834,0.213119,O,I,1.26,b4,NORMAL
92,156,11,2802.8,2574.138439,112.77,42.8286,25.642,26.3465,27.3775,2.3228,0.19415,O,J,0.68,c1,NORMAL
93,157,11,2811.0,2582.098439,112.85,49.125,27.8064,27.6731,27.6111,2.3816,0.179627,O,J,1.07,c1,NORMAL
94,158,11,2816.2,2587.146244,113.1,35.9119,38.8706,38.9315,39.6899,2.4087,0.135995,O,J,0.58,c1,NORMAL
95,159,11,2825.5,2596.173193,113.33,49.9452,20.9043,21.2838,22.8254,2.5014,0.089812,O,J,9999.0,c1,OTHER
96,161,11,2869.2,2638.596565,115.02,52.5122,18.573,18.0466,17.9862,2.4127,0.175761,O,J,0.97,c2,NORMAL
97,163,11,2872.4,2641.704311,115.25,52.246,22.3284,22.4964,23.1425,2.4272,0.138956,O,J,0.68,c2,NORMAL
98,166,11,2889.5,2658.309448,115.05,69.907,12.5396,12.8182,13.370999999999999,2.3424,0.19048199999999998,O,J,0.97,c2,NORMAL
99,167,11,2892.0,2660.736921,115.0,53.7441,11.4021,11.6095,12.3174,2.4502,0.111552,O?,J,0.78,c2,NORMAL
100,168,11,2893.5,2662.193404,114.85,49.6529,9.1629,9.4086,9.9175,2.3293,0.200905,O?,J,0.68,c2,NORMAL
101,169,11,2899.0,2667.533845,114.76,46.375,21.1473,21.1833,21.6619,2.36,0.16686900000000002,O,J,0.87,c2,NORMAL
102,170,11,2901.8,2670.252614,114.51,53.0219,15.6927,16.0206,16.4324,2.3743,0.196802,O,J,0.58,c2,NORMAL
103,172,11,2905.8,2674.136571,113.6,61.5768,19.636,20.3274,21.5952,2.5294,0.126403,O,J,9999.0,c2,OTHER
104,173,11,2916.5,2684.524382,113.11,111.5466,23.9069,24.1398,24.6459,2.4841,0.21704400000000001,O,J,9999.0,c2,NORMAL
105,175,12,2209.5,2137.32,91.4437,35.9197,2.3199,2.4121,2.7146,2.2842,0.2188,W,I,5.1,b3,NORMAL
106,178,12,2272.5,2200.313671,92.9935,52.2386,19.4684,19.7391,20.6665,2.5372,0.1059,O,I,0.6,b3,NORMAL
107,179,12,2279.5,2207.311242,93.1657,45.673,111.0563,101.09200000000001,94.5113,2.2703,0.1783,O,I,2.4,b4,NORMAL
108,180,12,2282.5,2210.3102010000002,93.2395,55.1649,83.9257,82.6429,79.3239,2.265,0.1945,O,I,2.2,b4,NORMAL
109,181,12,2285.5,2213.308325,93.3133,81.2102,18.6911,19.2088,19.7101,2.3833,0.2025,O,I,0.6,b4,NORMAL
110,182,13,2613.0,2325.7734609999998,101.3698,39.2562,2.206,2.3918,2.6528,2.2745,0.22563699999999998,W,I,8.98,b3,NORMAL
111,183,13,2713.0,2420.336843,103.8298,54.2342,28.0482,28.9421,28.8034,2.2966,0.21039899999999997,O,I,2.2,b4,NORMAL
112,186,13,2865.0,2567.910785,107.569,43.0336,92.0344,92.4485,85.5005,2.2921,0.184169,O,J,1.46,c1,NORMAL
113,187,13,2931.8,2632.609997,109.21228,41.4428,15.2253,15.8785,15.8148,2.3784,0.17158099999999998,O,J,0.86,c1,NORMAL
114,188,13,2940.5,2640.9652920000003,109.4263,56.5395,22.7327,23.4695,23.0896,2.4935,0.17195,O,J,9999.0,c1,OTHER
115,189,13,2945.5,2645.754293,109.5493,55.2851,19.4866,20.0589,19.6684,2.5005,0.137755,O,J,9999.0,c1,OTHER
116,192,13,2997.5,2695.4676449999997,110.8285,48.4737,21.9188,22.3572,21.9008,2.485,0.117125,O,J,9999.0,c2,OTHER
117,193,13,3001.5,2699.2958399999998,110.9269,43.6348,21.8373,22.7028,22.3854,2.4145,0.178299,O,J,0.48,c2,OTHER
118,195,13,3022.0,2718.915341,111.4312,57.5308,10.4557,11.0753,11.2625,2.4648,0.157462,O?,J,0.48,c2,NORMAL
119,197,14,1603.0,1417.988331,82.94444444,46.8059,2.323,9999.0,9999.0,2.1428,0.293,W,K,4.162719999999999,a,NORMAL
120,198,14,1623.0,1435.647982,84.22222222,51.7873,2.636,9999.0,9999.0,2.1691,0.309,W,K,3.922485,a,NORMAL
121,199,14,1706.5,1508.824184,70.27777778,47.512,2.6839999999999997,9999.0,9999.0,2.2568,0.273,W,K,3.841797,b1,NORMAL
122,200,14,1741.9,1538.965804,86.22222222,63.1579,4.1930000000000005,9999.0,9999.0,2.3297,0.262,W,K,1.403076,b1,OTHER
123,201,14,1743.5,1540.296816,87.55555556,44.7947,2.803,9999.0,9999.0,2.4779,0.19899999999999998,W,K,0.764038,b1,OTHER
124,202,14,1744.0,1540.712758,76.94444444,46.1845,2.742,9999.0,9999.0,2.2343,0.276,W,K,0.764038,b1,OTHER
125,203,14,1771.0,1562.8906539999998,82.16666667,45.3407,3.323,9999.0,9999.0,2.2319999999999998,0.289,W,K,1.845337,b1,NORMAL
126,204,14,1795.0,1581.9373369999998,81.83333333,42.419,16.492,9999.0,9999.0,2.1621,0.262,O,K,2.249634,b1,NORMAL
127,205,14,1809.3,1592.906704,80.83333333,64.5669,6.751,9999.0,9999.0,2.34,0.256,O,K,0.579834,b1,NORMAL
128,206,14,1840.5,1616.4245859999999,83.55555556,33.4718,22.706999999999997,9999.0,9999.0,2.1621,0.242,O,K,5.240479,b1,NORMAL
129,207,14,1847.0,1621.286285,83.16666667,38.8511,24.107,9999.0,9999.0,2.1282,0.272,O,K,2.843628,b1,NORMAL
130,208,14,1870.0,1638.405411,82.72222222,43.8694,42.288000000000004,9999.0,9999.0,2.2101,0.308,O,S,2.716431,b3,NORMAL
131,209,14,1903.0,1662.750319,85.05555556,47.3379,24.903000000000002,9999.0,9999.0,2.1833,0.221,O,S,6.36377,b3,OTHER
132,210,14,1903.4,1663.043336,85.16666667,51.1147,29.259,9999.0,9999.0,2.189,0.24,O,S,6.36377,b3,NORMAL
133,211,14,1913.5,1670.4420189999998,84.83333333,54.6048,20.765,9999.0,9999.0,2.2298,0.23,O,S,2.791016,b3,NORMAL
134,212,14,1945.0,1693.450712,85.27777778,53.373999999999995,12.964,9999.0,9999.0,2.2281,0.26899999999999996,O,S,1.8857419999999998,b3,NORMAL
135,213,14,1969.9,1711.4853899999998,85.54954000000001,53.63,2.399,9999.0,9999.0,2.2506,0.256,W,S,3.6267089999999995,b3,NORMAL
136,214,14,1981.0,1719.4834690000002,85.8226,73.6581,7.636,9999.0,9999.0,2.2843,0.263,O,S,1.4221190000000001,b3,NORMAL
137,215,14,1994.0,1728.8115269999998,86.1424,49.9817,1.672,9999.0,9999.0,2.2119999999999997,0.27399999999999997,W,S,3.276123,b4,NORMAL
138,216,14,2001.5,1734.183791,86.3269,45.7511,1.879,9999.0,9999.0,2.2297,0.25,W,S,6.439697,b4,NORMAL
139,217,14,2018.5,1746.343214,85.94444444,60.138000000000005,2.6689999999999996,9999.0,9999.0,2.2888,0.251,W,S,2.834229,b4,NORMAL
140,218,14,2031.5,1755.615449,87.0649,38.7454,1.496,9999.0,9999.0,2.1594,0.267,W,S,8.922728999999999,b4,NORMAL
141,219,14,2052.5,1770.5936739999997,87.5815,44.4349,2.391,9999.0,9999.0,2.239,0.257,W,S,4.668335,b4,NORMAL
142,220,14,2070.5,1783.418625,88.0243,52.5596,1.9409999999999998,9999.0,9999.0,2.2191,0.26,W,S,11.252808,b4,NORMAL
143,221,14,2105.0,1807.7657739999997,88.87299999999999,40.5843,2.318,9999.0,9999.0,2.2333,0.24600000000000002,W,S,5.783936,b4,NORMAL
144,222,15,1553.5,1405.197325,84.0,59.1868,3.2310000000000003,9999.0,9999.0,2.2386,0.30199000000000004,W,K,5.11499,a,NORMAL
145,223,15,1702.5,1509.322058,85.77777778,48.7704,3.84,9999.0,9999.0,2.2439,0.26401399999999997,W,K,2.9460450000000002,b1,NORMAL
146,224,15,1810.0,1580.584212,79.33333333,37.4355,2.763,9999.0,9999.0,2.2497,0.255992,W,K,7.553833,b1,NORMAL
147,225,15,1847.0,1604.9537810000002,81.77777778,43.1637,2.7321,9999.0,9999.0,2.2588,0.22899999999999998,W,K,2.303711,b1,NORMAL
148,226,15,1859.1,1612.868133,82.72222222,41.9248,2.891,9999.0,9999.0,2.2327,0.283997,W,K,5.981934,b1,NORMAL
149,227,15,1897.0,1637.101357,82.94444444,39.4673,2.525,9999.0,9999.0,2.1711,0.247,W,K,1.5046389999999998,b1,NORMAL
150,228,15,1909.0,1644.479606,83.22222222,48.5141,4.138,9999.0,9999.0,2.3679,0.195992,W,K,2.502441,b1,NORMAL
151,229,15,1951.0,1669.775431,83.77777778,36.5721,1.9880000000000002,9999.0,9999.0,2.2125,0.25400100000000003,W,K,4.725708,b1,NORMAL
152,230,15,1974.5,1683.7367649999999,84.22222222,29.6785,1.5581,9999.0,9999.0,2.156,0.287,W,K,7.588622999999999,b1,NORMAL
153,231,15,2002.5,1700.220444,84.72222222,45.1808,22.5322,9999.0,9999.0,2.2238,0.256011,O,S,3.7442629999999997,b3,NORMAL
154,232,15,2030.0,1715.817861,86.16666667,48.836999999999996,12.3681,9999.0,9999.0,2.267,0.222992,O,S,2.174194,b3,NORMAL
155,233,15,2045.0,1724.033296,86.5,50.4113,15.2887,9999.0,9999.0,2.2019,0.250996,O,S,2.750366,b3,NORMAL
156,234,15,2054.5,1729.0534489999998,86.66666667,51.812,18.7491,9999.0,9999.0,2.2616,0.245996,O,S,5.314209,b3,NORMAL
157,235,15,2064.0,1734.073601,86.83333333,60.7963,11.9435,9999.0,9999.0,2.2767,0.240002,O,S,2.647827,b3,NORMAL
158,236,15,2074.5,1739.6221920000003,88.1227,43.2624,8.191,9999.0,9999.0,2.3125,0.220996,O,S,2.569214,b3,NORMAL
159,237,15,2085.0,1745.170782,88.381,53.4928,3.6910000000000003,9999.0,9999.0,2.3096,0.225994,W,S,2.498413,b3,NORMAL
160,238,15,2088.5,1747.020312,88.4671,59.5527,3.3161,9999.0,9999.0,2.2779,0.213998,W,S,0.8879389999999999,b3,NORMAL
161,239,15,2109.5,1758.185825,88.9837,57.2809,5.34,9999.0,9999.0,2.2892,0.185003,O?,S,1.463135,b3,NORMAL
162,240,15,2140.5,1774.763925,89.7463,48.2579,1.561,9999.0,9999.0,2.1849,0.269995,W,S,8.819214,b4,NORMAL
163,241,15,2174.0,1792.8272940000002,90.5704,38.5646,1.585,9999.0,9999.0,2.2029,0.257998,W,S,12.71936,b4,NORMAL
164,242,15,2188.1,1800.510357,90.91726,50.8638,2.037,9999.0,9999.0,2.2528,0.25600100000000003,W,S,2.500244,b4,NORMAL
165,243,15,2214.0,1814.7062460000002,91.5544,49.7647,2.3169999999999997,9999.0,9999.0,2.2735,0.22999499999999998,W,S,7.450317,b4,NORMAL
166,244,15,2236.5,1827.078284,89.22222222,41.3089,2.775,9999.0,9999.0,2.2747,0.218994,W,S,4.699097,b4,NORMAL
167,245,15,2250.0,1834.539245,88.88888889,42.8961,2.8979,9999.0,9999.0,2.2538,0.24400100000000002,W,S,4.799683,b4,NORMAL
168,246,16,1754.5,1595.610303,86.0,71.8054,4.5471,9999.0,9999.0,2.3529,0.24299400000000002,W,K,2.491089,b1,OTHER
169,247,16,1755.0,1596.064191,84.33333333,64.5896,3.9131,9999.0,9999.0,2.3559,0.24299899999999997,W,K,2.491089,b1,NORMAL
170,248,16,1785.0,1623.339563,84.66666667,45.7043,2.8619,9999.0,9999.0,2.2526,0.278,W,K,4.577515,b1,NORMAL
171,249,16,1795.0,1632.444385,85.22222222,45.0326,3.3480000000000003,9999.0,9999.0,2.2872,0.251998,W,K,3.192993,b1,NORMAL
172,250,16,1845.3,1678.297669,87.16666667,45.1349,2.1180000000000003,9999.0,9999.0,2.2735,0.243998,W,K,9.86438,b1,NORMAL
173,251,16,1922.5,1748.956127,89.38888889,39.5991,2.053,9999.0,9999.0,2.2626,0.24298899999999998,W,K,3.9230959999999997,b1,NORMAL
174,252,16,1955.5,1779.3447579999997,89.50555556,45.8554,2.0651,9999.0,9999.0,2.2655,0.24799000000000002,W,K,2.2504880000000003,b3,NORMAL
175,253,16,1962.0,1785.3428989999998,89.88888889,40.3333,2.6151,9999.0,9999.0,2.2801,0.225002,W,K,6.895996,b3,NORMAL
176,254,16,2004.5,1824.631828,90.5,48.4079,2.379,9999.0,9999.0,2.3298,0.22900399999999999,W,K,6.064331,b3,NORMAL
177,255,16,2018.5,1837.589313,90.11111111,32.4086,3.792,9999.0,9999.0,2.4292,0.13203299999999998,W,K,4.233521,b3,NORMAL
178,256,16,2026.5,1844.998911,91.0,58.5993,2.8141,9999.0,9999.0,2.3409,0.212004,W,K,4.516602,b3,NORMAL
179,257,16,2048.5,1865.384211,87.4831,52.7314,2.6521,9999.0,9999.0,2.3258,0.216994,W,K,5.369263,b4,NORMAL
180,258,16,2076.0,1890.8971589999999,88.1596,43.3203,1.9169999999999998,9999.0,9999.0,2.2664,0.253994,W,K,6.792114,b4,NORMAL
181,259,16,2081.0,1895.539589,88.2826,53.7121,2.326,9999.0,9999.0,2.3219,0.22299899999999998,W,K,2.122559,b4,NORMAL
182,260,16,2093.5,1907.145661,88.5901,43.5312,2.3511,9999.0,9999.0,2.3159,0.25000100000000003,W,K,3.5375980000000005,b4,NORMAL
183,261,16,2121.5,1933.190098,89.2789,46.6815,2.6778,9999.0,9999.0,2.2882,0.24299400000000002,W,K,3.265869,b4,NORMAL
184,262,16,2126.0,1937.3791829999998,89.3896,48.3598,2.046,9999.0,9999.0,2.2697,0.23499299999999998,W,K,2.9838869999999997,b4,NORMAL
185,263,16,2139.0,1949.5034879999998,89.7094,42.1245,2.346,9999.0,9999.0,2.3157,0.221998,W,K,5.543213,b4,NORMAL
186,264,16,2146.0,1956.0319600000003,89.8816,42.9284,2.7539999999999996,9999.0,9999.0,2.3665,0.171999,W,K,5.686279,b4,NORMAL
187,265,16,2157.0,1966.2936260000001,90.05555556,52.7664,3.6959,9999.0,9999.0,2.322,0.212997,W,K,4.692383,b4,NORMAL
188,266,17,1736.0,1644.059884,79.7956,41.8658,2.3175,9999.0,9999.0,2.2819,0.184425,W,H,2.506958,b1,NORMAL
189,267,17,1822.0,1716.805261,81.9112,57.6496,2.2583,9999.0,9999.0,2.2917,0.256682,W,D,8.441895,b3,NORMAL
190,268,17,1842.3,1733.441122,82.41058000000001,79.337,3.3658,9999.0,9999.0,2.4338,0.20904099999999998,W,D,1.989746,b3,NORMAL
